iter	Logloss
0	0.6894284388
1	0.6860556803
2	0.6827896162
3	0.6800168342
4	0.6759980493
5	0.6737257605
6	0.6716651133
7	0.6698557072
8	0.6662561584
9	0.6647709903
10	0.6634192632
11	0.6621889204
12	0.6610690173
13	0.6600496132
14	0.6591216754
15	0.6568056547
16	0.6560425285
17	0.6553478816
18	0.6501346087
19	0.6495727995
20	0.6490614451
21	0.6485960301
22	0.6481724429
23	0.6477869396
24	0.6474316757
25	0.6471058554
26	0.6468102103
27	0.6462281739
28	0.6447883981
29	0.6445701793
30	0.6391668135
31	0.6389960862
32	0.6388411377
33	0.6387005057
34	0.6385728639
35	0.638132003
36	0.6380272189
37	0.6379321063
38	0.6378457704
39	0.6377674004
40	0.6376962591
41	0.6376316781
42	0.6375730512
43	0.6375198287
44	0.6372323427
45	0.6371886766
46	0.6371490335
47	0.6371130421
48	0.6370803654
49	0.6370506984
50	0.6370237629
51	0.6369993064
52	0.6369771016
53	0.6357444453
54	0.6357265802
55	0.6357103593
56	0.6356956304
57	0.6342399506
58	0.6342282355
59	0.6342175976
60	0.6342079379
61	0.6341991664
62	0.6341912015
63	0.6341839688
64	0.634177401
65	0.6341714369
66	0.634166021
67	0.6341611029
68	0.6341566367
69	0.6331272465
70	0.6320447947
71	0.6320418918
72	0.6320392556
73	0.6301127281
74	0.6282211053
75	0.6267185502
76	0.6267172016
77	0.6267159769
78	0.6267148646
79	0.6267138546
80	0.6267129372
81	0.6267121042
82	0.6174234518
83	0.6161495191
84	0.6161494799
85	0.6161494205
86	0.6161493895
87	0.6161491818
88	0.6161489596
89	0.6161489284
90	0.616148892
91	0.6161488858
92	0.6160037578
93	0.6160037268
94	0.6160037162
95	0.6139952188
96	0.6139951983
97	0.6139951839
98	0.6139951827
99	0.6139951485
100	0.613736026
101	0.6137359806
102	0.6137359657
103	0.6137359492
104	0.6137359306
105	0.6137359298
106	0.613735929
107	0.6136191196
108	0.613619092
109	0.613619092
110	0.613619092
111	0.613619092
112	0.6135003047
113	0.6099528156
114	0.6099528114
115	0.6091715237
116	0.609170125
117	0.6091701157
118	0.6091701065
119	0.6091701022
120	0.6060246591
121	0.606024627
122	0.6060245878
123	0.6052190245
124	0.6035876043
125	0.6035874205
126	0.6035872998
127	0.6035872309
128	0.6035871858
129	0.6029205286
130	0.6029199283
131	0.6029199084
132	0.6029199033
133	0.602919859
134	0.6029197794
135	0.6017875941
136	0.6017875766
137	0.6000748341
138	0.600074713
139	0.6000746979
140	0.600074669
141	0.6000746334
142	0.600074626
143	0.5987377714
144	0.5987377198
145	0.5987376816
146	0.5987376805
147	0.5987376417
148	0.5987375054
149	0.5987374975
150	0.5987374682
151	0.5987374262
152	0.5978032031
153	0.5978030918
154	0.5978030766
155	0.5978030729
156	0.5965991311
157	0.5965991125
158	0.5965488695
159	0.5954060468
160	0.5954060049
161	0.5954059644
162	0.5954059626
163	0.5954059483
164	0.5954059413
165	0.5954059342
166	0.5954058856
167	0.5954058848
168	0.595405884
169	0.5954058831
170	0.5918375865
171	0.5899487192
172	0.5888150734
173	0.5888148576
174	0.5881556444
175	0.5881556289
176	0.5810374129
177	0.5810374009
178	0.5810370272
179	0.5810367819
180	0.5810366714
181	0.5810365983
182	0.5810365268
183	0.5810364731
184	0.5794747534
185	0.5794743605
186	0.5794742755
187	0.5794741923
188	0.5794738509
189	0.5794737575
190	0.5794737383
191	0.5794734385
192	0.5785529819
193	0.578552973
194	0.5785527863
195	0.5765103204
196	0.576298719
197	0.5762987117
198	0.5762987045
199	0.5762985883
200	0.5762983858
201	0.5762982251
202	0.5762981615
203	0.5762981292
204	0.5762981022
205	0.5762980426
206	0.5762979383
207	0.5756230362
208	0.5756230166
209	0.5756230141
210	0.5756228572
211	0.5756228527
212	0.5756228482
213	0.5756228301
214	0.5756227682
215	0.5756226629
216	0.5756226589
217	0.5755101242
218	0.5755100889
219	0.5727411368
220	0.5727411194
221	0.5727411024
222	0.5725283788
223	0.5725283518
224	0.572528331
225	0.5725282933
226	0.5725282783
227	0.572528277
228	0.5725282668
229	0.5725282617
230	0.5717141508
231	0.5717141352
232	0.5717141325
233	0.5661864288
234	0.5661864285
235	0.5661864285
236	0.5661864283
237	0.5661864281
238	0.566186428
239	0.5661864279
240	0.5661198244
241	0.5661198243
242	0.5661198242
243	0.5661198242
244	0.5659719623
245	0.5652641741
246	0.5652641731
247	0.565264173
248	0.5597608622
249	0.5597608579
250	0.5597608494
251	0.5574106837
252	0.5574106818
253	0.5572476612
254	0.5572476458
255	0.5572476294
256	0.5572476148
257	0.5572426309
258	0.5572426236
259	0.5572426222
260	0.5562270944
261	0.5558504552
262	0.5558504516
263	0.5558504362
264	0.5550549277
265	0.5550549266
266	0.5529358107
267	0.5529358077
268	0.5529357936
269	0.5529357691
270	0.5529357458
271	0.5529357275
272	0.5528024449
273	0.5528024399
274	0.5528024339
275	0.552802417
276	0.5520849898
