iter	Passed	Remaining
0	2	2781
1	5	2687
2	8	2740
3	10	2665
4	13	2740
5	16	2735
6	21	2982
7	23	2930
8	27	3022
9	29	2967
10	32	2953
11	36	3045
12	39	2984
13	41	2934
14	44	2897
15	47	2906
16	50	2895
17	53	2903
18	60	3109
19	62	3066
20	65	3038
21	67	3003
22	69	2970
23	72	2931
24	74	2908
25	77	2895
26	79	2882
27	82	2873
28	85	2863
29	87	2842
30	90	2838
31	93	2825
32	96	2823
33	98	2805
34	101	2791
35	104	2796
36	107	2785
37	109	2775
38	112	2768
39	115	2763
40	117	2753
41	120	2749
42	123	2741
43	126	2749
44	133	2825
45	137	2846
46	140	2847
47	143	2849
48	147	2860
49	150	2867
50	153	2862
51	157	2869
52	160	2859
53	163	2860
54	166	2857
55	168	2843
56	171	2831
57	173	2825
58	176	2812
59	178	2800
60	181	2790
61	183	2780
62	186	2768
63	190	2782
64	192	2769
65	195	2760
66	197	2757
67	200	2745
68	202	2734
69	205	2730
70	208	2723
71	210	2714
72	213	2706
73	215	2698
74	218	2697
75	221	2690
76	223	2681
77	226	2676
78	228	2667
79	231	2660
80	234	2655
81	236	2650
82	240	2653
83	242	2647
84	245	2637
85	247	2631
86	250	2626
87	252	2619
88	255	2610
89	257	2600
90	259	2592
91	261	2583
92	264	2582
93	266	2572
94	269	2564
95	271	2560
96	274	2551
97	276	2542
98	278	2534
99	280	2526
100	283	2526
101	285	2517
102	288	2508
103	290	2501
104	292	2494
105	294	2485
106	296	2478
107	299	2474
108	301	2467
109	303	2458
110	305	2447
111	307	2439
112	311	2446
113	317	2468
114	320	2462
115	322	2460
116	330	2491
117	332	2487
118	335	2482
119	337	2475
120	343	2491
121	345	2484
122	347	2476
123	350	2475
124	353	2475
125	356	2474
126	359	2470
127	362	2470
128	364	2464
129	367	2462
130	373	2475
131	375	2466
132	377	2459
133	379	2452
134	381	2446
135	384	2443
136	386	2435
137	389	2433
138	392	2428
139	394	2422
140	396	2416
141	400	2417
142	404	2421
143	407	2419
144	409	2413
145	411	2407
146	413	2401
147	416	2396
148	418	2391
149	420	2385
150	423	2379
151	425	2374
152	428	2372
153	430	2366
154	433	2360
155	435	2354
156	437	2350
157	439	2344
158	442	2340
159	445	2338
160	447	2332
161	449	2326
162	452	2321
163	454	2315
164	456	2310
165	458	2304
166	461	2302
167	463	2296
168	465	2290
169	468	2285
170	470	2282
171	473	2278
172	478	2287
173	481	2283
174	483	2280
175	485	2275
176	492	2287
177	494	2281
178	496	2278
179	499	2273
180	501	2269
181	503	2264
182	506	2259
183	508	2254
184	510	2250
185	513	2248
186	516	2243
187	518	2239
188	521	2236
189	523	2232
190	526	2231
191	530	2230
192	533	2228
193	535	2225
194	538	2221
195	542	2226
196	545	2224
197	547	2218
198	550	2214
199	553	2214
200	558	2219
201	560	2215
202	563	2211
203	566	2212
204	569	2209
205	572	2204
206	574	2200
207	576	2196
208	578	2191
209	581	2185
210	583	2181
211	585	2176
212	587	2171
213	589	2166
214	591	2161
215	594	2156
216	596	2151
217	599	2150
218	601	2145
219	604	2142
220	606	2138
221	608	2132
222	611	2130
223	614	2127
224	617	2125
225	620	2125
226	622	2121
227	624	2115
228	627	2111
229	629	2107
230	632	2104
231	634	2100
232	636	2096
233	642	2102
234	644	2097
235	646	2094
236	648	2088
237	651	2084
238	653	2080
239	655	2075
240	658	2072
241	660	2068
242	662	2064
243	665	2060
244	667	2057
245	670	2054
246	673	2052
247	675	2048
248	680	2053
249	682	2048
250	685	2045
251	692	2056
252	695	2053
253	698	2050
254	700	2045
255	702	2040
256	704	2037
257	709	2041
258	711	2036
259	714	2034
260	717	2031
261	720	2028
262	722	2024
263	724	2020
264	727	2017
265	729	2013
266	732	2011
267	734	2007
268	736	2002
269	740	2000
270	742	1996
271	744	1993
272	747	1990
273	749	1985
274	751	1981
275	753	1977
276	756	1974
277	758	1970
278	761	1967
279	763	1963
280	765	1958
281	767	1954
282	769	1950
283	775	1955
284	777	1951
285	780	1949
286	783	1945
287	785	1941
288	788	1939
289	790	1934
290	792	1931
291	796	1930
292	798	1926
293	800	1922
294	805	1925
295	808	1922
296	810	1919
297	814	1918
298	818	1918
299	820	1915
300	823	1912
301	826	1910
302	828	1906
303	831	1904
304	834	1900
305	836	1897
306	839	1894
307	841	1890
308	843	1887
309	846	1883
310	848	1880
311	851	1877
312	854	1874
313	856	1872
314	859	1868
315	861	1864
316	864	1862
317	867	1860
318	869	1856
319	872	1853
320	875	1851
321	877	1848
322	884	1853
323	886	1850
324	889	1847
325	891	1844
326	895	1842
327	898	1840
328	902	1840
329	906	1840
330	909	1837
331	915	1841
332	917	1838
333	920	1835
334	925	1836
335	927	1833
336	930	1829
337	933	1827
338	937	1828
339	941	1826
340	945	1827
341	948	1825
342	956	1831
343	958	1828
344	961	1826
